,dimensions,my as columns,my as rows,numpy as columns,numpy as rows
111,500x500,1.181118,1.190119,0.038004,0.037004
112,500x500,1.135113,1.133113,0.034003,0.034003
113,500x500,1.128113,1.150115,0.034003,0.035003
114,500x500,1.129113,1.133113,0.036004,0.034003
115,500x500,1.139114,1.125113,0.035003,0.035003
116,500x500,1.125113,1.148115,0.035003,0.035004
117,500x500,1.132113,1.132113,0.035003,0.035003
118,500x500,1.146102,1.164116,0.030001,0.035004
119,500x500,1.135114,1.132113,0.035003,0.034003
120,500x500,1.119112,1.119112,0.035004,0.035004
121,500x500,1.116112,1.128113,0.035003,0.034003
122,500x500,1.118112,1.121112,0.035004,0.035003
123,500x500,1.119112,1.120112,0.035004,0.035003
124,500x500,1.116112,1.123112,0.034003,0.035003
125,500x500,1.114111,1.120112,0.034003,0.035003
126,500x500,1.116112,1.118112,0.034003,0.034003
127,500x500,1.117112,1.124112,0.035003,0.035004
128,500x500,1.155116,1.131113,0.035003,0.036004
129,500x500,1.117112,1.120112,0.034003,0.034003
130,500x500,1.125112,1.142114,0.037004,0.035004
131,500x500,1.112102,1.160023,0.034003,0.030001
132,500x500,1.120112,1.136074,0.035003,0.035003
133,500x500,1.136039,1.124024,0.040001,0.022001
134,500x500,1.110022,1.119026,0.040001,0.040001
135,500x500,1.144015,1.109033,0.03,0.035003
136,500x500,1.127,1.12,0.03,0.04
137,500x500,1.12,1.13,0.03,0.03
138,500x500,1.137,1.141,0.035,0.036
139,500x500,1.12,1.12,0.04,0.03
140,500x500,1.12,1.12,0.04,0.03
141,500x500,1.123,1.137,0.04,0.04
142,500x500,1.11,1.158,0.04,0.04
143,500x500,1.12,1.155,0.03,0.03
144,500x500,1.11,1.12,0.04,0.04
145,500x500,1.129,1.121,0.021,0.03
146,500x500,1.135,1.13,0.03,0.03
147,500x500,1.115,1.125,0.04,0.04
148,500x500,1.11,1.12,0.04,0.04
149,500x500,1.12,1.12,0.03,0.03
